,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
0,ENST00000539664,Werner15_SRR1610250,6,48,0.7,2.79,1.93,0.12,1.0,0.69,-0.01
1,ENST00000539664,Werner15_SRR1610251,22,124,0.49,3.9,1.93,0.17,1.0,0.49,0.0
2,ENST00000539664,Werner15_SRR1610254,34,62,0.16,12.24,1.93,0.55,1.0,0.16,0.0
3,ENST00000539664,Werner15_SRR1610255,26,78,0.26,7.44,1.93,0.33,1.0,0.26,0.0
4,ENST00000539664,Werner15_SRR2086030,8,51,0.56,3.5,1.93,0.16,1.0,0.55,-0.01
5,ENST00000539664,Werner15_SRR2086031,17,86,0.44,4.17,1.88,0.19,0.98,0.45,0.01
6,ENST00000539664,Werner15_SRR1610248,7,32,0.4,4.88,1.93,0.22,1.0,0.4,0.0
7,ENST00000539664,Werner15_SRR1610247,16,71,0.39,4.89,1.93,0.22,1.0,0.39,0.0
8,ENST00000539664,Werner15_SRR1610246,19,91,0.42,4.56,1.9,0.2,0.99,0.42,0.0
9,ENST00000539664,Werner15_SRR1610245,7,51,0.64,3.06,1.93,0.14,1.0,0.63,-0.01
10,ENST00000539664,Werner15_SRR1610244,9,52,0.51,3.79,1.89,0.17,0.98,0.5,-0.01
11,ENST00000539664,Werner15_SRR2086029,178,160,0.08,17.28,1.93,0.77,1.0,0.11,0.03
12,ENST00000539664,Werner15_SRR2086028,13,89,0.6,3.26,1.93,0.15,1.0,0.59,-0.01
13,ENST00000539664,Werner15_SRR2086025,12,58,0.42,4.54,1.89,0.2,0.98,0.42,0.0
14,ENST00000539664,Elkon15_SRR1916542,8,29,0.32,5.76,1.93,0.26,1.0,0.34,0.02
15,ENST00000539664,Guo14_SRR1598975,17,365,1.88,1.01,1.93,0.05,1.0,1.91,0.03
16,ENST00000539664,Tirosh15_SRR2064018,7,20,0.25,6.51,1.93,0.29,1.0,0.3,0.05
