,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
0,ENST00000369535,Gawron16_SRR2732970,2279,5451,0.44,11.45,6.86,0.28,0.93,0.6,0.16
1,ENST00000369535,Andreev_new_ef_F1_control_ribo,37,801,3.99,1.74,7.11,0.04,0.97,4.09,0.1
2,ENST00000369535,Andreev_new_ef_F2_phendc3_ribo,46,681,2.73,2.51,7.13,0.06,0.97,2.84,0.11
3,ENST00000369535,Andreev_new_ef_F3_Piericidine_A_ribo,96,712,1.37,4.58,6.9,0.11,0.94,1.51,0.14
4,ENST00000369535,Andreev_new_ef_F4_AICAR_ribo,71,688,1.79,3.31,6.31,0.08,0.86,1.91,0.12
5,ENST00000369535,Jakobsson17_SRR5382423,75,204,0.5,10.67,7.09,0.26,0.96,0.66,0.16
6,ENST00000369535,Jakobsson17_SRR5382422,94,245,0.48,11.29,7.31,0.28,0.99,0.65,0.17
7,ENST00000369535,Jakobsson17_SRR5382421,125,297,0.44,12.01,7.3,0.29,0.99,0.61,0.17
8,ENST00000369535,Jakobsson17_SRR5382420,79,205,0.48,11.28,7.3,0.28,0.99,0.65,0.17
9,ENST00000369535,Jakobsson17_SRR5382424,84,168,0.37,13.4,7.2,0.33,0.98,0.54,0.17
10,ENST00000369535,kolupaeva_27_sep17_human_4_TGACCA_L004_R1_001,9,174,3.57,2.0,7.33,0.05,0.99,3.67,0.1
11,ENST00000369535,Battle15_SRR1585548,236,983,0.77,7.62,7.04,0.19,0.96,0.92,0.15
12,ENST00000369535,Battle15_SRR1585488,218,1038,0.88,6.82,7.04,0.17,0.95,1.03,0.15
13,ENST00000369535,Battle15_SRR1585489,153,543,0.65,8.57,6.95,0.21,0.94,0.81,0.16
14,ENST00000369535,Battle15_SRR1585486,211,687,0.6,9.37,7.14,0.23,0.97,0.76,0.16
15,ENST00000369535,Battle15_SRR1585487,146,424,0.54,10.37,7.28,0.25,0.99,0.7,0.16
16,ENST00000369535,Battle15_SRR1585552,282,723,0.47,11.12,7.01,0.27,0.95,0.63,0.16
17,ENST00000369535,Battle15_SRR1585509,137,742,1.0,6.14,7.06,0.15,0.96,1.15,0.15
18,ENST00000369535,Battle15_SRR1585508,183,781,0.79,7.44,7.0,0.18,0.95,0.94,0.15
19,ENST00000369535,Battle15_SRR1585507,362,1129,0.58,9.64,7.09,0.24,0.96,0.74,0.16
20,ENST00000369535,Battle15_SRR1585506,108,293,0.5,10.58,6.97,0.26,0.95,0.66,0.16
21,ENST00000369535,Battle15_SRR1585505,96,419,0.81,7.32,7.02,0.18,0.95,0.96,0.15
22,ENST00000369535,Battle15_SRR1585504,285,835,0.54,9.91,6.91,0.24,0.94,0.7,0.16
23,ENST00000369535,Battle15_SRR1585503,140,635,0.84,6.85,6.73,0.17,0.91,0.98,0.14
24,ENST00000369535,Battle15_SRR1585502,231,935,0.75,7.83,7.05,0.19,0.96,0.9,0.15
25,ENST00000369535,Battle15_SRR1585501,131,587,0.83,6.95,6.75,0.17,0.92,0.97,0.14
26,ENST00000369535,Battle15_SRR1585500,28,107,0.71,8.05,6.86,0.2,0.93,0.85,0.14
27,ENST00000369535,Battle15_SRR1585525,75,286,0.7,8.51,7.32,0.21,0.99,0.86,0.16
28,ENST00000369535,Battle15_SRR1585524,115,458,0.73,8.09,7.23,0.2,0.98,0.89,0.16
29,ENST00000369535,Battle15_SRR1585527,40,191,0.88,7.07,7.37,0.17,1.0,1.04,0.16
30,ENST00000369535,Battle15_SRR1585526,112,266,0.44,11.73,7.05,0.29,0.96,0.6,0.16
31,ENST00000369535,Battle15_SRR1585521,66,214,0.6,9.14,6.86,0.22,0.93,0.75,0.15
32,ENST00000369535,Battle15_SRR1585520,94,339,0.67,8.53,6.94,0.21,0.94,0.81,0.14
33,ENST00000369535,Battle15_SRR1585523,118,545,0.85,7.03,7.07,0.17,0.96,1.01,0.16
34,ENST00000369535,Battle15_SRR1585522,172,554,0.59,9.43,7.13,0.23,0.97,0.76,0.17
35,ENST00000369535,Battle15_SRR1585547,293,1091,0.69,8.27,6.95,0.2,0.94,0.84,0.15
36,ENST00000369535,Battle15_SRR1585549,322,1094,0.63,8.89,6.96,0.22,0.94,0.78,0.15
37,ENST00000369535,Battle15_SRR1585545,114,535,0.87,6.69,6.74,0.16,0.91,1.01,0.14
38,ENST00000369535,Battle15_SRR1585529,90,475,0.97,5.85,6.51,0.14,0.88,1.11,0.14
39,ENST00000369535,Battle15_SRR1585528,132,351,0.49,10.7,6.95,0.26,0.94,0.65,0.16
40,ENST00000369535,Battle15_SRR1585541,377,1161,0.57,9.57,6.93,0.23,0.94,0.72,0.15
41,ENST00000369535,Battle15_SRR1585543,143,382,0.49,10.62,6.92,0.26,0.94,0.65,0.16
42,ENST00000369535,Battle15_SRR1585546,69,242,0.65,8.81,7.11,0.22,0.96,0.81,0.16
43,ENST00000369535,Battle15_SRR1585499,34,364,1.98,3.49,7.37,0.09,1.0,2.11,0.13
44,ENST00000369535,Battle15_SRR1585498,295,986,0.62,9.03,6.96,0.22,0.94,0.77,0.15
45,ENST00000369535,Battle15_SRR1585542,209,717,0.63,8.97,7.1,0.22,0.96,0.79,0.16
46,ENST00000369535,Battle15_SRR1585495,62,212,0.63,8.86,6.98,0.22,0.95,0.79,0.16
47,ENST00000369535,Battle15_SRR1585494,277,933,0.62,8.9,6.91,0.22,0.94,0.78,0.16
48,ENST00000369535,Battle15_SRR1585497,28,185,1.22,4.79,6.46,0.12,0.88,1.35,0.13
49,ENST00000369535,Battle15_SRR1585496,108,387,0.66,8.7,7.15,0.21,0.97,0.82,0.16
