,transcript,file,orf_count,cds_count,ratio,prob_uORF_init_rpb,prob_cds_init_rpb,prob_uORF_init_raw,prob_cds_init_raw,initiation_ratio,ratio_diff_init_minus_full
0,ENST00000367188,Park17_SRR5413158,33,73,0.16,9.76,2.23,0.3,0.99,0.23,0.07
1,ENST00000367188,Park17_SRR5413155,48,243,0.37,5.26,2.24,0.16,0.99,0.43,0.06
2,ENST00000367188,Park17_SRR5413156,33,111,0.25,7.36,2.24,0.23,0.99,0.3,0.05
3,ENST00000367188,Park17_SRR5413157,17,61,0.26,7.09,2.26,0.22,1.0,0.32,0.06
4,ENST00000367188,Park16_SRR3306585,697,476,0.05,19.05,2.24,0.59,0.99,0.12,0.07
5,ENST00000367188,Park16_SRR3306586,1055,1603,0.11,12.67,2.23,0.39,0.99,0.18,0.07
6,ENST00000367188,Park16_SRR3306587,808,3804,0.34,5.62,2.24,0.17,0.99,0.4,0.06
7,ENST00000367188,Park16_SRR3306583,1532,3565,0.17,9.44,2.24,0.29,0.99,0.24,0.07
8,ENST00000367188,Park16_SRR3306589,1203,6330,0.38,5.06,2.24,0.16,0.99,0.44,0.06
9,ENST00000367188,Park16_SRR3306588,1175,4449,0.28,6.71,2.26,0.21,1.0,0.34,0.06
10,ENST00000367188,Park16_SRR3306584,766,4769,0.45,4.35,2.25,0.13,0.99,0.52,0.07
0,ENST00000540870,Park16_SRR3306585,11,151,1.14,0.85,1.0,0.07,1.0,1.18,0.04
1,ENST00000540870,Park16_SRR3306586,39,491,1.04,0.94,1.0,0.08,1.0,1.06,0.02
2,ENST00000540870,Park16_SRR3306587,66,840,1.05,0.92,1.0,0.08,1.0,1.09,0.04
3,ENST00000540870,Park16_SRR3306589,81,1070,1.09,0.91,1.0,0.08,1.0,1.1,0.01
4,ENST00000540870,Park16_SRR3306584,103,1089,0.88,1.13,1.0,0.1,1.0,0.88,0.0
0,ENST00000522452,Park16_SRR3306587,10,18,0.29,3.08,0.87,0.11,0.25,0.28,-0.01
1,ENST00000522452,Park16_SRR3306584,6,20,0.53,0.86,0.41,0.03,0.12,0.48,-0.05
0,ENST00000538962,Park16_SRR3306585,661,1353,0.37,2.74,1.0,0.49,1.0,0.36,-0.01
1,ENST00000538962,Park16_SRR3306586,164,2161,2.36,0.42,1.0,0.08,1.0,2.38,0.02
2,ENST00000538962,Park16_SRR3306587,302,4532,2.69,0.37,1.0,0.07,1.0,2.7,0.01
3,ENST00000538962,Park16_SRR3306583,2485,8192,0.59,1.69,1.0,0.3,1.0,0.59,0.0
4,ENST00000538962,Park16_SRR3306589,587,4401,1.34,0.75,1.0,0.13,1.0,1.33,-0.01
5,ENST00000538962,Park16_SRR3306588,1152,3420,0.53,1.88,1.0,0.34,1.0,0.53,0.0
6,ENST00000538962,Park16_SRR3306584,671,5790,1.54,0.65,1.0,0.12,1.0,1.54,0.0
