transcript	gene	length	cds_start	cds_stop	orf_start	orf_stop	tx_count_for_gene
ENST00000620552	AGRN	7394	465	6257	140	362	10
ENST00000377740	PLEKHG5	3550	551	3109	225	402	12
ENST00000377748	PLEKHG5	5221	499	3750	173	350	12
ENST00000054650	THAP3	1366	159	878	85	262	8
ENST00000303635	CAMTA1	8444	208	5229	59	320	16
ENST00000337907	RERE	8026	636	5336	332	422	18
ENST00000375759	SPEN	12232	205	11199	41	143	5
ENST00000375599	RSG1	1545	421	1197	221	326	2
ENST00000432949	NBPF1	4176	889	4176	530	626	7
ENST00000430580	NBPF1	5932	889	4308	530	626	7
ENST00000617114	ATP13A2	1723	1037	1723	897	1032	15
ENST00000251296	IGSF21	1943	384	1787	314	476	4
ENST00000375108	PLA2G5	1161	269	685	147	273	8
ENST00000375071	CDA	963	183	623	10	214	2
ENST00000438975	EIF4G3	1270	619	1270	33	123	14
ENST00000411888	EIF4G3	1122	463	1122	6	96	14
ENST00000374935	EIF4G3	5567	623	4540	37	127	14
ENST00000375647	ZBTB40	8685	208	3927	44	407	4
ENST00000374651	ZBTB40	8368	224	3607	60	423	4
ENST00000356046	GRHL3	2804	304	1974	123	246	9
ENST00000630065	SEPN1	2994	293	493	90	201	5
ENST00000270792	SH3BGRL3	1661	981	1262	580	985	2
ENST00000373710	SERINC2	2146	274	1668	186	519	6
ENST00000647444	None	None	None	None	370	490	0
ENST00000432622	FAM229A	699	153	536	24	126	4
ENST00000294517	AZIN2	2182	588	1970	171	261	19
ENST00000373418	PHC2	2550	340	1311	143	254	13
ENST00000522796	HMGB4	2505	1906	2466	1407	1524	4
ENST00000519684	HMGB4	2343	1744	2304	1245	1362	4
ENST00000317538	ZMYM6	2702	166	678	34	157	9
ENST00000357182	ZMYM6	4330	229	4206	97	220	9
ENST00000373129	STK40	3846	408	1715	389	491	8
ENST00000373001	RRAGC	2732	178	1377	24	351	4
ENST00000621281	RP5-864K19.6	609	136	468	34	127	4
ENST00000357771	GJA9	1799	252	1799	19	112	2
ENST00000454994	RP5-864K19.6	2381	282	1826	49	142	4
ENST00000530262	MACF1	6257	172	6257	93	198	34
ENST00000496804	MACF1	5065	234	3422	155	260	34
ENST00000642679	None	None	None	None	339	438	0
ENST00000417105	COL9A2	677	1	677	123	222	11
ENST00000372699	ZNF684	2097	252	1388	1	175	6
ENST00000326197	SCMH1	3275	301	2283	228	333	17
ENST00000611861	ZMYND12	1503	257	634	157	310	4
ENST00000372565	ZMYND12	1775	271	1368	171	324	4
ENST00000372562	PPCS	966	395	811	227	329	8
ENST00000372458	ELOVL1	1477	119	958	10	274	17
ENST00000413844	ELOVL1	1451	175	933	66	330	17
ENST00000372455	MED8	1186	331	870	257	377	5
ENST00000372307	SLC6A9	2162	329	2053	261	471	11
ENST00000620860	EIF2B3	1923	240	1445	59	185	10
ENST00000372009	MAST2	4047	38	2413	12	102	10
ENST00000371940	MOB3C	5725	3145	3795	373	583	4
ENST00000371940	MOB3C	5725	3145	3795	167	257	4
ENST00000334793	FOXD2	4675	2120	3607	537	825	1
ENST00000242719	RNF11	3084	487	951	57	162	3
ENST00000262676	TTC39A	6287	162	1424	100	238	18
ENST00000371532	ZYG11A	3942	648	1901	147	255	3
ENST00000612017	ZYG11A	3682	648	1901	147	255	3
ENST00000395871	PODN	2744	169	1728	63	291	7
ENST00000620347	SLC1A7	2873	184	2043	83	272	6
ENST00000611397	SLC1A7	2499	184	1602	110	299	6
ENST00000371491	SLC1A7	1306	169	645	123	312	6
ENST00000371494	SLC1A7	2637	129	1811	83	272	6
ENST00000620288	SLC1A7	3378	173	649	127	316	6
ENST00000649098	None	None	None	None	138	327	0
ENST00000613538	LEPROT	4625	115	537	50	197	6
ENST00000347310	IL23R	2912	172	2061	120	300	5
ENST00000370951	SRSF11	2385	122	1573	10	238	16
ENST00000457880	TYW3	3335	94	774	57	174	8
ENST00000370867	TYW3	3430	90	869	53	170	8
ENST00000474957	TTLL7	7157	278	1711	258	363	14
ENST00000611507	SEP15	1785	314	685	177	276	8
ENST00000331835	SEP15	1781	255	752	118	217	8
ENST00000616787	SEP15	1835	314	808	177	276	8
ENST00000648872	None	None	None	None	123	222	0
ENST00000370399	TGFBR3	4550	685	3237	405	510	11
ENST00000370282	TMED5	6104	487	1176	197	650	5
ENST00000287474	FRRS1	2678	603	2483	116	491	4
ENST00000370103	OLFM3	3255	215	1591	26	164	6
ENST00000536598	OLFM3	2801	161	583	60	186	6
ENST00000474186	AKNAD1	2895	407	2365	210	309	9
ENST00000369995	AKNAD1	2641	260	2545	63	162	9
ENST00000472781	AKNAD1	2638	260	1507	63	162	9
ENST00000461774	AKNAD1	2646	252	1961	55	154	9
ENST00000370001	AKNAD1	3053	270	2780	73	172	9
ENST00000618721	GPR61	2823	684	2039	57	150	7
ENST00000527748	GPR61	4921	684	2039	57	150	7
ENST00000469383	GPR61	2557	635	1990	8	101	7
ENST00000616874	GPR61	2459	320	1675	42	135	7
ENST00000404129	GPR61	2834	684	2039	57	150	7
ENST00000359172	AHCYL1	2503	343	1794	338	524	6
ENST00000393614	AHCYL1	4313	801	2252	796	982	6
ENST00000460620	PTPN22	1794	90	629	43	178	11
ENST00000359785	PTPN22	3654	137	2560	90	225	11
ENST00000420377	PTPN22	2726	90	2477	43	178	11
ENST00000532224	PTPN22	2421	86	493	39	174	11
ENST00000538253	PTPN22	3575	131	2482	84	219	11
ENST00000525799	PTPN22	2118	90	2096	43	178	11
ENST00000528414	PTPN22	3424	76	2334	29	164	11
ENST00000617010	NBPF10	11630	7911	11630	2059	2218	7
ENST00000617010	NBPF10	11630	7911	11630	2452	2716	7
ENST00000617010	NBPF10	11630	7911	11630	2452	2716	7
ENST00000617010	NBPF10	11630	7911	11630	2452	2716	7
ENST00000617010	NBPF10	11630	7911	11630	2452	2716	7
ENST00000617010	NBPF10	11630	7911	11630	2452	2716	7
ENST00000617010	NBPF10	11630	7911	11630	2452	2716	7
ENST00000617010	NBPF10	11630	7911	11630	2452	2716	7
ENST00000617010	NBPF10	11630	7911	11630	2452	2716	7
ENST00000444948	FCGR1A	795	74	795	34	187	4
ENST00000392971	NBPF20	18450	1201	16824	869	1085	5
ENST00000606888	ANKRD34A	3613	1296	2786	645	840	3
ENST00000606888	ANKRD34A	3613	1296	2786	99	279	3
ENST00000362074	NOTCH2NL	1874	363	1073	355	595	4
ENST00000578189	NBPF19	5034	447	1157	439	679	6
ENST00000578207	NOTCH2NL	5042	445	1155	437	677	4
ENST00000612520	RP11-458D21.5	3411	337	1053	329	569	1
ENST00000621744	NBPF19	14425	1271	12802	337	577	6
ENST00000579793	NOTCH2NL	1954	363	1055	355	595	4
ENST00000362074	NOTCH2NL	1874	363	1073	191	344	4
ENST00000579793	NOTCH2NL	1954	363	1055	191	344	4
ENST00000612520	RP11-458D21.5	3411	337	1053	165	318	1
ENST00000617844	NBPF12	6326	435	4808	201	366	8
ENST00000611443	NBPF12	5594	435	4076	201	366	8
ENST00000614506	NBPF11	5152	959	2584	603	768	5
ENST00000254090	FMO5	2632	390	1991	175	277	9
ENST00000578284	FMO5	1784	390	1784	175	277	9
ENST00000234739	BCL9	6278	741	5021	483	621	3
ENST00000271628	SF3B4	2085	586	1860	449	704	2
ENST00000439741	MTMR11	2856	252	2381	78	192	10
ENST00000369126	PLEKHO1	1809	1022	1702	615	720	9
ENST00000369111	CA14	2403	971	1984	367	511	5
ENST00000417398	CIART	838	123	838	25	178	7
ENST00000290363	CIART	1746	450	1607	249	348	7
ENST00000581066	MRPS21	1462	448	711	317	416	2
ENST00000358595	ARNT	4887	202	2571	35	233	12
ENST00000312210	FAM63A	2400	679	1662	161	287	7
ENST00000361936	FAM63A	2817	956	2365	219	345	7
ENST00000452456	RFX5	567	213	365	74	173	21
ENST00000450506	RFX5	903	351	903	212	311	21
ENST00000392746	RFX5	2056	267	2056	61	160	21
ENST00000436271	RFX5	545	257	545	111	210	21
ENST00000435314	RFX5	583	196	324	57	156	21
ENST00000368708	S100A2	998	374	667	57	198	6
ENST00000497140	S100A2	697	404	598	22	163	6
ENST00000368485	IL6R	5914	438	1844	194	287	8
ENST00000344086	IL6R	3217	408	1505	164	257	8
ENST00000622330	IL6R	1496	438	1496	194	287	8
ENST00000368376	MTX1	1632	107	1507	55	292	7
ENST00000428024	GBA	1817	341	1690	252	351	14
ENST00000368347	RUSC1	2503	482	1960	346	616	16
ENST00000368336	DAP3	2089	125	1321	16	160	26
ENST00000620426	GON4L	5506	164	3076	21	198	19
ENST00000271883	GON4L	7138	164	6886	21	198	19
ENST00000255039	HAPLN2	1771	408	1430	67	163	5
ENST00000255039	HAPLN2	1771	408	1430	86	185	5
ENST00000368170	CD1C	1435	280	1281	166	256	2
ENST00000566111	IFI16	856	608	856	223	316	14
ENST00000613418	FCGR3B	2251	286	936	192	297	9
ENST00000614870	FCGR3B	1993	286	678	192	297	9
ENST00000534776	FCGR3B	584	271	584	177	282	9
ENST00000618415	RGS5	5812	548	769	345	471	21
ENST00000338353	FAM78B	1597	591	1376	193	337	5
ENST00000354422	FAM78B	1475	468	1253	70	214	5
ENST00000286031	C1ORF112	4355	701	3262	339	549	9
ENST00000367765	KIFAP3	4111	1503	3761	1438	1585	6
ENST00000538366	KIFAP3	3159	670	2814	327	474	6
ENST00000367765	KIFAP3	4111	1503	3761	1071	1212	6
ENST00000367765	KIFAP3	4111	1503	3761	331	481	6
ENST00000405362	CACYBP	1059	502	1059	10	358	9
ENST00000234816	ANGPTL1	3348	449	1924	24	141	3
ENST00000367590	XPR1	8474	199	2289	117	267	5
ENST00000367589	XPR1	4126	171	2066	89	239	5
ENST00000542060	STX6	4809	487	951	97	427	4
ENST00000367397	CRB1	9023	859	2883	359	506	10
ENST00000367385	NEK7	4149	343	1251	30	351	8
