       variable         value
ENST00000367188       PPP1R15B
ENST00000540870     AC009950.1
ENST00000239444         PCDHB8
ENST00000539664           TRIL
ENST00000522452   RP13-582O9.6
ENST00000538962     AL135787.1
ENST00000615949     AL135791.1
ENST00000280155         ADRA2A
ENST00000292174          CXCR5
ENST00000280684          KCNA6
ENST00000397766          PGBD4
ENST00000332029          SOCS1
ENST00000290294          PRAC1
ENST00000322957          FOXJ1
ENST00000247005           GDF1
ENST00000254998           NXT1
ENST00000375712          KIF3B
ENST00000379499         KLHL34
ENST00000204961          EFNB1
ENST00000441825       Z83313.1
ENST00000397747       PDCD1LG2
ENST00000372642          ENDOG
ENST00000326669          SUMO4
ENST00000215939         CRYBB1
ENST00000390306       IGLV2-23
ENST00000304788           NANP
ENST00000390658           EID2
ENST00000377893         GPR153
ENST00000289753           HTR6
ENST00000366503         ZNF670
ENST00000303077           SIX2
ENST00000258456          GPR45
ENST00000320767          ARL14
ENST00000317605        MAB21L2
ENST00000274625          FGF18
ENST00000377294        ZKSCAN4
ENST00000454207   RP3-468K18.7
ENST00000377707            SHB
ENST00000372134          GHITM
ENST00000370005         ELOVL3
