transcript	gene	length	cds_start	cds_stop	orf_start	orf_stop	tx_count_for_gene
ENST00000424047	OR4F2P	938	None	None	60	156	1
ENST00000426406	OR4F29	939	1	939	79	175	1
ENST00000402444	OR4F7P	931	None	None	60	156	1
ENST00000332831	OR4F16	939	1	939	79	175	1
ENST00000559128	OR4F28P	938	None	None	60	156	1
ENST00000589943	OR4F8P	937	None	None	59	155	1
ENST00000456475	OR4F3	995	20	958	79	175	1
ENST00000327044	NOC2L	2790	51	2300	2131	2326	6
ENST00000338591	KLHL17	2560	108	2036	2272	2488	5
ENST00000620552	AGRN	7394	465	6257	2443	2638	10
ENST00000379370	AGRN	7323	51	6188	2443	2638	10
ENST00000379370	AGRN	7323	51	6188	1861	2245	10
ENST00000620552	AGRN	7394	465	6257	1861	2245	10
ENST00000379370	AGRN	7323	51	6188	140	362	10
ENST00000620552	AGRN	7394	465	6257	140	362	10
ENST00000464905	C1ORF159	650	None	None	246	432	19
ENST00000379320	C1ORF159	2324	632	1666	1659	1845	19
ENST00000379325	C1ORF159	2010	172	741	933	1119	19
ENST00000467751	C1ORF159	2099	166	501	1024	1210	19
ENST00000379339	C1ORF159	2429	212	1354	1347	1533	19
ENST00000379319	C1ORF159	1097	308	904	897	1083	19
ENST00000421241	C1ORF159	1841	175	771	764	950	19
ENST00000465822	C1ORF159	1933	None	None	856	1042	19
ENST00000477196	C1ORF159	3214	166	462	2139	2325	19
ENST00000487177	C1ORF159	3315	None	None	2240	2426	19
ENST00000467751	C1ORF159	2099	166	501	360	537	19
ENST00000379319	C1ORF159	1097	308	904	405	582	19
ENST00000421241	C1ORF159	1841	175	771	272	449	19
ENST00000477196	C1ORF159	3214	166	462	1209	1386	19
ENST00000462097	C1ORF159	836	527	836	624	801	19
ENST00000473600	C1ORF159	793	None	None	583	760	19
ENST00000465822	C1ORF159	1933	None	None	207	384	19
ENST00000434641	C1ORF159	842	172	842	269	446	19
ENST00000379339	C1ORF159	2429	212	1354	417	594	19
ENST00000482816	C1ORF159	982	None	None	417	594	19
ENST00000379325	C1ORF159	2010	172	741	269	446	19
ENST00000497869	TNFRSF4	1707	None	None	12	552	3
ENST00000330388	FAM132A	1036	33	941	254	683	5
ENST00000347370	UBE2J2	2387	475	1098	2011	2158	20
ENST00000450390	UBE2J2	2455	189	320	2074	2221	20
ENST00000379116	SCNN1D	3044	227	2635	1459	1651	9
ENST00000400928	SCNN1D	2731	396	2312	1136	1328	9
ENST00000338555	SCNN1D	3475	1145	3061	1885	2077	9
ENST00000325425	SCNN1D	2679	151	2265	1089	1281	9
ENST00000379101	SCNN1D	2268	191	1177	1329	1521	9
ENST00000434694	CPSF3L	1056	23	1056	105	195	52
ENST00000532952	CPSF3L	773	None	None	117	207	52
ENST00000530031	CPSF3L	800	52	800	275	365	52
ENST00000528879	CPSF3L	1524	41	877	123	213	52
ENST00000490853	CPSF3L	704	None	None	124	214	52
ENST00000435064	CPSF3L	2148	84	1886	166	256	52
ENST00000526797	CPSF3L	659	51	296	133	223	52
ENST00000493534	CPSF3L	896	None	None	133	223	52
ENST00000488042	CPSF3L	1134	None	None	104	194	52
ENST00000430786	CPSF3L	849	18	323	284	374	52
ENST00000429572	CPSF3L	1104	59	928	141	231	52
ENST00000498476	CPSF3L	554	53	554	315	405	52
ENST00000534345	CPSF3L	485	64	485	149	239	52
ENST00000618806	CPSF3L	1523	80	1249	162	252	52
ENST00000458452	CPSF3L	2571	43	231	598	688	52
ENST00000527719	CPSF3L	750	123	750	223	313	52
ENST00000450926	CPSF3L	1839	63	1799	145	235	52
ENST00000540437	CPSF3L	2629	535	2355	635	725	52
ENST00000545578	CPSF3L	2263	274	1989	198	309	52
ENST00000527098	CPSF3L	2004	59	337	177	288	52
ENST00000540437	CPSF3L	2629	535	2355	315	675	52
ENST00000458452	CPSF3L	2571	43	231	278	638	52
ENST00000343938	CPTP	2190	412	1056	1484	2150	3
